date,covid_infection_rate
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.1
2020-03-01,0.1
2020-03-02,0.2
2020-03-03,0.2
2020-03-04,0.3
2020-03-05,0.5
2020-03-06,0.7
2020-03-07,0.8
2020-03-08,1.0
2020-03-09,1.1
2020-03-10,1.4
2020-03-11,2.0
2020-03-12,2.8
2020-03-13,3.7
2020-03-14,5.2
2020-03-15,6.6
2020-03-16,7.6
2020-03-17,9.6
2020-03-18,12.5
2020-03-19,15.9
2020-03-20,19.5
2020-03-21,22.6
2020-03-22,25.0
2020-03-23,26.5
2020-03-24,28.5
2020-03-25,30.7
2020-03-26,33.2
2020-03-27,35.4
2020-03-28,37.7
2020-03-29,39.3
2020-03-30,40.2
2020-03-31,40.7
2020-04-01,42.1
2020-04-02,42.8
2020-04-03,43.5
2020-04-04,43.8
2020-04-05,43.3
2020-04-06,42.7
2020-04-07,42.1
2020-04-08,41.1
2020-04-09,40.0
2020-04-10,38.0
2020-04-11,34.7
2020-04-12,32.9
2020-04-13,32.2
2020-04-14,29.7
2020-04-15,26.5
2020-04-16,24.2
2020-04-17,22.4
2020-04-18,22.0
2020-04-19,21.1
2020-04-20,20.5
2020-04-21,20.7
2020-04-22,20.3
2020-04-23,19.4
2020-04-24,17.8
2020-04-25,16.4
2020-04-26,15.4
2020-04-27,14.6
2020-04-28,13.9
2020-04-29,13.1
2020-04-30,11.8
2020-05-01,11.1
2020-05-02,9.9
2020-05-03,9.1
2020-05-04,8.8
2020-05-05,8.4
2020-05-06,7.9
2020-05-07,7.7
2020-05-08,7.4
2020-05-09,7.4
2020-05-10,7.5
2020-05-11,7.4
2020-05-12,7.4
2020-05-13,7.1
2020-05-14,6.7
2020-05-15,6.2
2020-05-16,6.0
2020-05-17,5.7
2020-05-18,5.7
2020-05-19,5.5
2020-05-20,5.3
2020-05-21,5.2
2020-05-22,4.8
2020-05-23,4.5
2020-05-24,4.4
2020-05-25,4.3
2020-05-26,4.1
2020-05-27,4.0
2020-05-28,3.8
2020-05-29,3.9
2020-05-30,3.8
2020-05-31,3.9
2020-06-01,3.8
2020-06-02,3.5
2020-06-03,3.1
2020-06-04,2.9
2020-06-05,2.9
2020-06-06,2.9
2020-06-07,2.8
2020-06-08,2.8
2020-06-09,3.0
2020-06-10,3.1
2020-06-11,3.1
2020-06-12,2.8
2020-06-13,2.8
2020-06-14,2.8
2020-06-15,2.8
2020-06-16,2.7
2020-06-17,2.8
2020-06-18,3.3
2020-06-19,3.8
2020-06-20,4.6
2020-06-21,4.9
2020-06-22,5.0
2020-06-23,5.2
2020-06-24,5.2
2020-06-25,4.8
2020-06-26,4.6
2020-06-27,4.1
2020-06-28,3.8
2020-06-29,3.8
2020-06-30,3.7
2020-07-01,3.6
2020-07-02,3.6
2020-07-03,3.5
2020-07-04,3.3
2020-07-05,3.3
2020-07-06,3.2
2020-07-07,3.1
2020-07-08,3.0
