event,start_utc,end_utc,match_kickoff_utc,provisional
EURO2016_GER_UKR_group,2016-06-12T18:00:00+00:00,2016-06-12T22:00:00+00:00,2016-06-12T19:00:00+00:00,0
EURO2016_GER_POL_group,2016-06-16T18:00:00+00:00,2016-06-16T22:00:00+00:00,2016-06-16T19:00:00+00:00,0
EURO2016_NIR_GER_group,2016-06-21T15:00:00+00:00,2016-06-21T19:00:00+00:00,2016-06-21T16:00:00+00:00,0
EURO2016_GER_SVK_r16,2016-06-26T15:00:00+00:00,2016-06-26T20:00:00+00:00,2016-06-26T16:00:00+00:00,0
EURO2016_GER_ITA_qf,2016-07-02T18:00:00+00:00,2016-07-02T23:00:00+00:00,2016-07-02T19:00:00+00:00,0
EURO2016_GER_FRA_sf,2016-07-07T18:00:00+00:00,2016-07-07T23:00:00+00:00,2016-07-07T19:00:00+00:00,0
EURO2016_POR_FRA_final,2016-07-10T18:00:00+00:00,2016-07-10T23:00:00+00:00,2016-07-10T19:00:00+00:00,0
WC2018_GER_MEX_group,2018-06-17T14:00:00+00:00,2018-06-17T18:00:00+00:00,2018-06-17T15:00:00+00:00,0
WC2018_GER_SWE_group,2018-06-23T17:00:00+00:00,2018-06-23T21:00:00+00:00,2018-06-23T18:00:00+00:00,0
WC2018_KOR_GER_group,2018-06-27T13:00:00+00:00,2018-06-27T17:00:00+00:00,2018-06-27T14:00:00+00:00,0
WC2018_FRA_CRO_final,2018-07-15T14:00:00+00:00,2018-07-15T19:00:00+00:00,2018-07-15T15:00:00+00:00,0
EURO2020_FRA_GER_group,2021-06-15T18:00:00+00:00,2021-06-15T22:00:00+00:00,2021-06-15T19:00:00+00:00,0
EURO2020_POR_GER_group,2021-06-19T15:00:00+00:00,2021-06-19T19:00:00+00:00,2021-06-19T16:00:00+00:00,0
EURO2020_GER_HUN_group,2021-06-23T18:00:00+00:00,2021-06-23T22:00:00+00:00,2021-06-23T19:00:00+00:00,0
EURO2020_ENG_GER_r16,2021-06-29T15:00:00+00:00,2021-06-29T20:00:00+00:00,2021-06-29T16:00:00+00:00,0
EURO2020_ITA_ENG_final,2021-07-11T18:00:00+00:00,2021-07-11T23:00:00+00:00,2021-07-11T19:00:00+00:00,0
WC2022_GER_JPN_group,2022-11-23T12:00:00+00:00,2022-11-23T16:00:00+00:00,2022-11-23T13:00:00+00:00,0
WC2022_ESP_GER_group,2022-11-27T18:00:00+00:00,2022-11-27T22:00:00+00:00,2022-11-27T19:00:00+00:00,0
WC2022_CRC_GER_group,2022-12-01T18:00:00+00:00,2022-12-01T22:00:00+00:00,2022-12-01T19:00:00+00:00,0
WC2022_ARG_FRA_final,2022-12-18T14:00:00+00:00,2022-12-18T19:00:00+00:00,2022-12-18T15:00:00+00:00,0
EURO2024_GER_SCO_group,2024-06-14T18:00:00+00:00,2024-06-14T22:00:00+00:00,2024-06-14T19:00:00+00:00,0
EURO2024_GER_HUN_group,2024-06-19T15:00:00+00:00,2024-06-19T19:00:00+00:00,2024-06-19T16:00:00+00:00,0
EURO2024_SUI_GER_group,2024-06-23T18:00:00+00:00,2024-06-23T22:00:00+00:00,2024-06-23T19:00:00+00:00,0
EURO2024_GER_DEN_r16,2024-06-29T18:00:00+00:00,2024-06-29T23:00:00+00:00,2024-06-29T19:00:00+00:00,0
EURO2024_ESP_GER_qf,2024-07-05T15:00:00+00:00,2024-07-05T20:00:00+00:00,2024-07-05T16:00:00+00:00,0
EURO2024_ESP_ENG_final,2024-07-14T18:00:00+00:00,2024-07-14T23:00:00+00:00,2024-07-14T19:00:00+00:00,0
WC2026_GER_CUW_group,2026-06-14T16:00:00+00:00,2026-06-14T20:00:00+00:00,2026-06-14T17:00:00+00:00,0
WC2026_GER_CIV_group,2026-06-20T19:00:00+00:00,2026-06-20T23:00:00+00:00,2026-06-20T20:00:00+00:00,0
WC2026_ECU_GER_group,2026-06-25T19:00:00+00:00,2026-06-25T23:00:00+00:00,2026-06-25T20:00:00+00:00,0
WC2026_E1_PATH_r32,2026-06-29T20:00:00+00:00,2026-06-30T01:00:00+00:00,2026-06-29T20:30:00+00:00,1
WC2026_E2_PATH_r32,2026-06-30T16:00:00+00:00,2026-06-30T21:00:00+00:00,2026-06-30T17:00:00+00:00,1
WC2026_E1_PATH_r16,2026-07-04T20:00:00+00:00,2026-07-05T01:00:00+00:00,2026-07-04T21:00:00+00:00,1
WC2026_E2_PATH_r16,2026-07-05T19:00:00+00:00,2026-07-06T00:00:00+00:00,2026-07-05T20:00:00+00:00,1
WC2026_E1_PATH_qf,2026-07-09T19:00:00+00:00,2026-07-10T00:00:00+00:00,2026-07-09T20:00:00+00:00,1
WC2026_E2_PATH_qf,2026-07-11T20:00:00+00:00,2026-07-12T01:00:00+00:00,2026-07-11T21:00:00+00:00,1
WC2026_E1_PATH_sf,2026-07-14T18:00:00+00:00,2026-07-14T23:00:00+00:00,2026-07-14T19:00:00+00:00,1
WC2026_E2_PATH_sf,2026-07-15T18:00:00+00:00,2026-07-15T23:00:00+00:00,2026-07-15T19:00:00+00:00,1
WC2026_TBD_TBD_final,2026-07-19T18:00:00+00:00,2026-07-19T23:00:00+00:00,2026-07-19T19:00:00+00:00,0
