state,name,start_date,end_date
BB,Winterferien,2022-01-31,2022-02-05
BB,Osterferien,2022-04-11,2022-04-24
BB,Variabler Ferientag,2022-05-27,2022-05-27
BB,Sommerferien,2022-07-07,2022-08-20
BB,Herbstferien,2022-10-24,2022-11-05
BB,Weihnachtsferien,2022-12-22,2023-01-03
BB,Winterferien,2023-01-30,2023-02-03
BB,Osterferien,2023-04-03,2023-04-14
BB,Variabler Ferientag,2023-05-19,2023-05-19
BB,Sommerferien,2023-07-13,2023-08-26
BB,Variabler Ferientag,2023-10-02,2023-10-02
BB,Herbstferien,2023-10-23,2023-11-04
BB,Weihnachtsferien,2023-12-23,2024-01-05
BB,Winterferien,2024-02-05,2024-02-09
BB,Osterferien,2024-03-25,2024-04-05
BB,Variabler Ferientag,2024-05-10,2024-05-10
BB,Sommerferien,2024-07-18,2024-08-31
BB,Variabler Ferientag,2024-10-04,2024-10-04
BB,Herbstferien,2024-10-21,2024-11-02
BB,Weihnachtsferien,2024-12-23,2024-12-31
BB,Winterferien,2025-02-03,2025-02-08
BB,Osterferien,2025-04-14,2025-04-25
BB,Variabler Ferientag,2025-05-02,2025-05-02
BB,Variabler Ferientag,2025-05-30,2025-05-30
BB,Pfingstferien,2025-06-10,2025-06-10
BB,Sommerferien,2025-07-24,2025-09-06
BB,Herbstferien,2025-10-20,2025-11-01
BB,Weihnachtsferien,2025-12-22,2026-01-02
BB,Winterferien,2026-02-02,2026-02-07
BB,Osterferien,2026-03-30,2026-04-10
BB,Variabler Ferientag,2026-05-15,2026-05-15
BB,Pfingstferien,2026-05-26,2026-05-26
BB,Sommerferien,2026-07-09,2026-08-22
BB,Herbstferien,2026-10-19,2026-10-30
BB,Weihnachtsferien,2026-12-23,2027-01-02
BB,Winterferien,2027-02-01,2027-02-06
BB,Osterferien,2027-03-22,2027-04-03
BB,Variabler Ferientag,2027-05-07,2027-05-07
BB,Pfingstferien,2027-05-18,2027-05-18
BB,Sommerferien,2027-07-01,2027-08-14
BB,Herbstferien,2027-10-11,2027-10-23
BB,Weihnachtsferien,2027-12-23,2027-12-31
BE,Winterferien,2022-01-30,2022-02-04
BE,Osterferien,2022-04-11,2022-04-23
BE,Unterrichtsfreier Tag,2022-05-27,2022-05-27
BE,Pfingstferien,2022-06-07,2022-06-07
BE,Sommerferien,2022-07-07,2022-08-18
BE,Herbstferien,2022-10-24,2022-11-05
BE,Weihnachtsferien,2022-12-22,2023-01-02
BE,Winterferien,2023-01-30,2023-02-04
BE,Osterferien,2023-04-03,2023-04-14
BE,Unterrichtsfreier Tag,2023-05-19,2023-05-19
BE,Pfingstferien,2023-05-30,2023-05-30
BE,Sommerferien,2023-07-13,2023-08-25
BE,Unterrichtsfreier Tag,2023-10-02,2023-10-02
BE,Herbstferien,2023-10-23,2023-11-04
BE,Weihnachtsferien,2023-12-23,2024-01-05
BE,Winterferien,2024-02-05,2024-02-10
BE,Osterferien,2024-03-25,2024-04-05
BE,Unterrichtsfreier Tag,2024-05-10,2024-05-10
BE,Sommerferien,2024-07-18,2024-08-30
BE,Unterrichtsfreier Tag,2024-10-04,2024-10-04
BE,Herbstferien,2024-10-21,2024-11-02
BE,Weihnachtsferien,2024-12-23,2024-12-31
BE,Winterferien,2025-02-03,2025-02-08
BE,Osterferien,2025-04-14,2025-04-25
BE,Unterrichtsfreier Tag,2025-05-02,2025-05-02
BE,Unterrichtsfreier Tag,2025-05-30,2025-05-30
BE,Pfingstferien,2025-06-10,2025-06-10
BE,Sommerferien,2025-07-24,2025-09-06
BE,Herbstferien,2025-10-20,2025-11-01
